company_name	founded	team_size	location	country	no_founders	no_company_socials
Airbnb	2008	5000	San Francisco	USA	3	4
Amplitude	2012	500	San Francisco	USA	2	1
DoorDash	-1	1600	San Francisco	USA	3	4
Coinbase	2012	500	San Francisco	USA	1	3
Dropbox	2008	4000	San Francisco	USA	2	4
